hotel_id,price,stock,request.city,request.date,request.language,request.mobile,request.avatar_id
452,139,195,rome,44,italian,0,38714
364,122,140,rome,44,italian,0,38714
991,139,196,rome,44,italian,0,38714
293,61,113,rome,44,italian,0,38714
486,143,195,rome,44,italian,0,38714
677,144,197,rome,44,italian,0,38714
344,63,56,rome,44,italian,0,38714
473,205,277,rome,44,italian,0,38714
328,61,56,rome,44,italian,0,38714
850,143,194,rome,44,italian,0,38714
714,63,56,rome,44,italian,0,38714
895,199,277,rome,44,italian,0,38714
906,121,140,rome,44,italian,0,38714
489,205,277,rome,44,italian,0,38714
947,121,140,rome,44,italian,0,38714
513,67,56,rome,44,italian,0,38714
496,62,196,rome,44,italian,0,38714
3,61,56,rome,44,italian,0,38714
361,119,138,rome,44,italian,0,38714
38,84,56,rome,44,italian,0,38714
694,118,55,rome,44,italian,0,38714
864,120,140,rome,44,italian,0,38714
739,144,196,rome,44,italian,0,38714
139,66,56,rome,44,italian,0,38714
907,121,138,rome,44,italian,0,38714
641,87,111,rome,44,italian,0,38714
953,85,112,rome,44,italian,0,38714
944,202,276,rome,44,italian,0,38714
759,140,195,rome,44,italian,0,38714
566,145,197,rome,44,italian,0,38714
46,196,277,rome,44,italian,0,38714
273,121,138,rome,44,italian,0,38714
341,90,113,rome,44,italian,0,38714
286,92,112,rome,44,italian,0,38714
536,91,110,rome,44,italian,0,38714
555,120,138,rome,44,italian,0,38714
586,143,198,rome,44,italian,0,38714
751,199,280,rome,44,italian,0,38714
469,62,113,rome,44,italian,0,38714
390,144,196,rome,44,italian,0,38714
840,92,112,rome,44,italian,0,38714
114,118,142,rome,44,italian,0,38714
213,84,112,rome,44,italian,0,38714
583,62,56,rome,44,italian,0,38714
316,140,196,rome,44,italian,0,38714
144,68,56,rome,44,italian,0,38714
298,120,140,rome,44,italian,0,38714
651,84,112,rome,44,italian,0,38714
773,62,56,rome,44,italian,0,38714
178,203,274,rome,44,italian,0,38714
874,142,195,rome,44,italian,0,38714
769,68,55,rome,44,italian,0,38714
824,203,278,rome,44,italian,0,38714
42,142,195,rome,44,italian,0,38714
228,117,112,rome,44,italian,0,38714
786,196,281,rome,44,italian,0,38714
453,198,279,rome,44,italian,0,38714
129,86,112,rome,44,italian,0,38714
702,143,193,rome,44,italian,0,38714
671,120,138,rome,44,italian,0,38714
347,68,56,rome,44,italian,0,38714
686,84,57,rome,44,italian,0,38714
330,195,281,rome,44,italian,0,38714
659,144,193,rome,44,italian,0,38714
897,199,276,rome,44,italian,0,38714
51,119,140,rome,44,italian,0,38714
993,142,196,rome,44,italian,0,38714
932,117,112,rome,44,italian,0,38714
423,199,280,rome,44,italian,0,38714
696,84,112,rome,44,italian,0,38714
569,87,112,rome,44,italian,0,38714
681,122,140,rome,44,italian,0,38714
191,119,140,rome,44,italian,0,38714
913,122,137,rome,44,italian,0,38714
550,67,113,rome,44,italian,0,38714
437,85,56,rome,44,italian,0,38714
843,198,281,rome,44,italian,0,38714
151,203,278,rome,44,italian,0,38714
386,89,55,rome,44,italian,0,38714
650,65,56,rome,44,italian,0,38714
260,90,139,rome,44,italian,0,38714
712,144,194,rome,44,italian,0,38714
728,199,281,rome,44,italian,0,38714
206,144,196,rome,44,italian,0,38714
725,139,197,rome,44,italian,0,38714
987,67,56,rome,44,italian,0,38714
180,63,56,rome,44,italian,0,38714
854,196,277,rome,44,italian,0,38714
399,140,193,rome,44,italian,0,38714
112,66,55,rome,44,italian,0,38714
621,66,56,rome,44,italian,0,38714
471,142,194,rome,44,italian,0,38714
232,66,56,rome,44,italian,0,38714
242,144,196,rome,44,italian,0,38714
781,61,55,rome,44,italian,0,38714
838,120,140,rome,44,italian,0,38714
321,200,277,rome,44,italian,0,38714
485,62,55,rome,44,italian,0,38714
170,119,138,rome,44,italian,0,38714
48,61,112,rome,44,italian,0,38714
374,88,111,rome,44,italian,0,38714
380,66,56,rome,44,italian,0,38714
156,62,56,rome,44,italian,0,38714
929,198,280,rome,44,italian,0,38714
804,118,140,rome,44,italian,0,38714
296,60,56,rome,44,italian,0,38714
563,142,194,rome,44,italian,0,38714
537,142,196,rome,44,italian,0,38714
774,139,194,rome,44,italian,0,38714
856,63,55,rome,44,italian,0,38714
543,143,197,rome,44,italian,0,38714
701,67,56,rome,44,italian,0,38714
73,145,195,rome,44,italian,0,38714
668,86,112,rome,44,italian,0,38714
396,89,111,rome,44,italian,0,38714
345,117,111,rome,44,italian,0,38714
381,116,112,rome,44,italian,0,38714
324,121,139,rome,44,italian,0,38714
763,89,112,rome,44,italian,0,38714
636,84,138,rome,44,italian,0,38714
644,60,140,rome,44,italian,0,38714
787,87,111,rome,44,italian,0,38714
796,121,141,rome,44,italian,0,38714
281,87,112,rome,44,italian,0,38714
934,66,56,rome,44,italian,0,38714
552,83,111,rome,44,italian,0,38714
440,92,111,rome,44,italian,0,38714
816,61,56,rome,44,italian,0,38714
642,67,57,rome,44,italian,0,38714
156,64,53,rome,43,italian,0,38714
361,125,130,rome,43,italian,0,38714
671,126,130,rome,43,italian,0,38714
112,69,52,rome,43,italian,0,38714
874,148,184,rome,43,italian,0,38714
650,68,53,rome,43,italian,0,38714
293,63,106,rome,43,italian,0,38714
453,207,264,rome,43,italian,0,38714
641,92,104,rome,43,italian,0,38714
759,147,185,rome,43,italian,0,38714
566,145,187,rome,43,italian,0,38714
677,144,185,rome,43,italian,0,38714
668,86,104,rome,43,italian,0,38714
296,61,53,rome,43,italian,0,38714
701,71,53,rome,43,italian,0,38714
281,92,105,rome,43,italian,0,38714
681,123,130,rome,43,italian,0,38714
725,139,186,rome,43,italian,0,38714
180,66,53,rome,43,italian,0,38714
178,213,258,rome,43,italian,0,38714
129,86,105,rome,43,italian,0,38714
781,64,51,rome,43,italian,0,38714
563,148,182,rome,43,italian,0,38714
840,96,105,rome,43,italian,0,38714
364,123,131,rome,43,italian,0,38714
485,65,52,rome,43,italian,0,38714
42,148,184,rome,43,italian,0,38714
702,149,179,rome,43,italian,0,38714
850,149,183,rome,43,italian,0,38714
906,125,132,rome,43,italian,0,38714
228,119,105,rome,43,italian,0,38714
345,122,104,rome,43,italian,0,38714
390,144,181,rome,43,italian,0,38714
260,94,132,rome,43,italian,0,38714
543,143,183,rome,43,italian,0,38714
206,151,187,rome,43,italian,0,38714
993,148,186,rome,43,italian,0,38714
728,199,263,rome,43,italian,0,38714
934,67,53,rome,43,italian,0,38714
686,84,54,rome,43,italian,0,38714
330,195,263,rome,43,italian,0,38714
824,213,262,rome,43,italian,0,38714
838,126,132,rome,43,italian,0,38714
856,66,52,rome,43,italian,0,38714
51,125,132,rome,43,italian,0,38714
344,66,53,rome,43,italian,0,38714
694,123,52,rome,43,italian,0,38714
496,62,183,rome,43,italian,0,38714
328,62,53,rome,43,italian,0,38714
953,89,107,rome,43,italian,0,38714
381,118,105,rome,43,italian,0,38714
452,146,188,rome,43,italian,0,38714
48,64,106,rome,43,italian,0,38714
316,140,183,rome,43,italian,0,38714
471,148,181,rome,43,italian,0,38714
537,142,183,rome,43,italian,0,38714
437,88,54,rome,43,italian,0,38714
751,199,260,rome,43,italian,0,38714
929,207,266,rome,43,italian,0,38714
489,216,261,rome,43,italian,0,38714
895,208,259,rome,43,italian,0,38714
242,151,187,rome,43,italian,0,38714
864,126,134,rome,43,italian,0,38714
804,119,132,rome,43,italian,0,38714
854,205,260,rome,43,italian,0,38714
73,152,183,rome,43,italian,0,38714
396,93,106,rome,43,italian,0,38714
644,63,130,rome,43,italian,0,38714
380,69,52,rome,43,italian,0,38714
550,69,108,rome,43,italian,0,38714
423,208,267,rome,43,italian,0,38714
907,128,130,rome,43,italian,0,38714
947,122,131,rome,43,italian,0,38714
769,72,52,rome,43,italian,0,38714
621,69,53,rome,43,italian,0,38714
386,93,52,rome,43,italian,0,38714
486,149,186,rome,43,italian,0,38714
144,72,53,rome,43,italian,0,38714
944,212,260,rome,43,italian,0,38714
843,198,263,rome,43,italian,0,38714
991,139,183,rome,43,italian,0,38714
473,216,259,rome,43,italian,0,38714
816,61,52,rome,43,italian,0,38714
583,64,53,rome,43,italian,0,38714
714,66,53,rome,43,italian,0,38714
139,69,52,rome,43,italian,0,38714
696,88,106,rome,43,italian,0,38714
341,90,106,rome,43,italian,0,38714
773,62,53,rome,43,italian,0,38714
374,92,106,rome,43,italian,0,38714
114,119,132,rome,43,italian,0,38714
321,211,259,rome,43,italian,0,38714
213,86,104,rome,43,italian,0,38714
46,205,259,rome,43,italian,0,38714
286,96,106,rome,43,italian,0,38714
469,62,106,rome,43,italian,0,38714
170,125,130,rome,43,italian,0,38714
151,213,262,rome,43,italian,0,38714
987,68,54,rome,43,italian,0,38714
636,88,130,rome,43,italian,0,38714
763,89,106,rome,43,italian,0,38714
440,96,106,rome,43,italian,0,38714
659,151,182,rome,43,italian,0,38714
774,146,181,rome,43,italian,0,38714
913,129,128,rome,43,italian,0,38714
651,84,103,rome,43,italian,0,38714
932,119,106,rome,43,italian,0,38714
787,92,104,rome,43,italian,0,38714
796,122,132,rome,43,italian,0,38714
536,95,103,rome,43,italian,0,38714
3,64,53,rome,43,italian,0,38714
555,126,131,rome,43,italian,0,38714
347,72,53,rome,43,italian,0,38714
513,68,53,rome,43,italian,0,38714
552,87,105,rome,43,italian,0,38714
324,128,132,rome,43,italian,0,38714
