hotel_id,price,stock,city,date,language,mobile,avatar_id,avatar_name
615,106,0,madrid,0,hungarian,0,295043,SQC0SD
857,107,0,madrid,0,hungarian,0,295043,SQC0SD
31,107,0,madrid,0,hungarian,0,295043,SQC0SD
845,315,0,madrid,0,hungarian,0,295043,SQC0SD
285,89,0,madrid,0,hungarian,0,295043,SQC0SD
800,91,0,madrid,0,hungarian,0,295043,SQC0SD
186,126,0,madrid,0,hungarian,0,295043,SQC0SD
886,157,0,madrid,0,hungarian,0,295043,SQC0SD
737,143,6,madrid,0,hungarian,0,295043,SQC0SD
322,81,2,madrid,0,hungarian,0,295043,SQC0SD
870,70,0,madrid,0,hungarian,0,295043,SQC0SD
313,67,0,madrid,0,hungarian,0,295043,SQC0SD
689,86,0,madrid,0,hungarian,0,295043,SQC0SD
108,94,0,madrid,0,hungarian,0,295043,SQC0SD
135,340,0,madrid,0,hungarian,0,295043,SQC0SD
310,64,0,madrid,0,hungarian,0,295043,SQC0SD
941,66,0,madrid,0,hungarian,0,295043,SQC0SD
561,62,3,madrid,0,hungarian,0,295043,SQC0SD
439,106,0,madrid,0,hungarian,0,295043,SQC0SD
982,228,0,madrid,0,hungarian,0,295043,SQC0SD
97,224,0,madrid,0,hungarian,0,295043,SQC0SD
860,144,0,madrid,0,hungarian,0,295043,SQC0SD
175,107,0,madrid,0,hungarian,0,295043,SQC0SD
393,146,0,madrid,0,hungarian,0,295043,SQC0SD
235,147,0,madrid,0,hungarian,0,295043,SQC0SD
697,146,0,madrid,0,hungarian,0,295043,SQC0SD
127,68,0,madrid,0,hungarian,0,295043,SQC0SD
102,327,0,madrid,0,hungarian,0,295043,SQC0SD
185,144,0,madrid,0,hungarian,0,295043,SQC0SD
413,254,0,madrid,0,hungarian,0,295043,SQC0SD
525,130,0,madrid,0,hungarian,0,295043,SQC0SD
149,174,0,madrid,0,hungarian,0,295043,SQC0SD
138,67,0,madrid,0,hungarian,0,295043,SQC0SD
427,246,0,madrid,0,hungarian,0,295043,SQC0SD
67,196,10,madrid,0,hungarian,0,295043,SQC0SD
798,344,0,madrid,0,hungarian,0,295043,SQC0SD
