hotel_id,price,stock,city,date,language,mobile,avatar_id,avatar_name
890,76,0,vienna,0,hungarian,0,295268,99S11K
875,103,0,vienna,0,hungarian,0,295268,99S11K
336,123,0,vienna,0,hungarian,0,295268,99S11K
173,107,0,vienna,0,hungarian,0,295268,99S11K
315,286,0,vienna,0,hungarian,0,295268,99S11K
266,76,0,vienna,0,hungarian,0,295268,99S11K
11,198,0,vienna,0,hungarian,0,295268,99S11K
979,169,0,vienna,0,hungarian,0,295268,99S11K
703,159,0,vienna,0,hungarian,0,295268,99S11K
662,275,0,vienna,0,hungarian,0,295268,99S11K
977,110,2,vienna,0,hungarian,0,295268,99S11K
613,261,0,vienna,0,hungarian,0,295268,99S11K
924,166,0,vienna,0,hungarian,0,295268,99S11K
610,72,5,vienna,0,hungarian,0,295268,99S11K
810,174,0,vienna,0,hungarian,0,295268,99S11K
839,203,0,vienna,0,hungarian,0,295268,99S11K
704,105,0,vienna,0,hungarian,0,295268,99S11K
33,165,0,vienna,0,hungarian,0,295268,99S11K
801,272,0,vienna,0,hungarian,0,295268,99S11K
195,139,0,vienna,0,hungarian,0,295268,99S11K
494,201,0,vienna,0,hungarian,0,295268,99S11K
372,118,0,vienna,0,hungarian,0,295268,99S11K
354,88,4,vienna,0,hungarian,0,295268,99S11K
775,76,0,vienna,0,hungarian,0,295268,99S11K
15,378,0,vienna,0,hungarian,0,295268,99S11K
646,103,0,vienna,0,hungarian,0,295268,99S11K
530,97,2,vienna,0,hungarian,0,295268,99S11K
35,80,0,vienna,0,hungarian,0,295268,99S11K
682,138,0,vienna,0,hungarian,0,295268,99S11K
275,121,0,vienna,0,hungarian,0,295268,99S11K
57,145,0,vienna,0,hungarian,0,295268,99S11K
426,163,0,vienna,0,hungarian,0,295268,99S11K
511,216,0,vienna,0,hungarian,0,295268,99S11K
549,103,0,vienna,0,hungarian,0,295268,99S11K
152,214,2,vienna,0,hungarian,0,295268,99S11K
168,372,0,vienna,0,hungarian,0,295268,99S11K
220,85,0,vienna,0,hungarian,0,295268,99S11K
8,132,3,vienna,0,hungarian,0,295268,99S11K
931,282,0,vienna,0,hungarian,0,295268,99S11K
626,171,0,vienna,0,hungarian,0,295268,99S11K
210,121,2,vienna,0,hungarian,0,295268,99S11K
462,78,0,vienna,0,hungarian,0,295268,99S11K
236,77,0,vienna,0,hungarian,0,295268,99S11K
713,275,0,vienna,0,hungarian,0,295268,99S11K
231,144,0,vienna,0,hungarian,0,295268,99S11K
996,120,0,vienna,0,hungarian,0,295268,99S11K
70,172,3,vienna,0,hungarian,0,295268,99S11K
666,79,0,vienna,0,hungarian,0,295268,99S11K
535,141,0,vienna,0,hungarian,0,295268,99S11K
877,79,0,vienna,0,hungarian,0,295268,99S11K
753,147,0,vienna,0,hungarian,0,295268,99S11K
940,167,0,vienna,0,hungarian,0,295268,99S11K
245,132,1,vienna,0,hungarian,0,295268,99S11K
