hotel_id,price,stock,city,date,language,mobile,avatar_id,avatar_name
513,73,0,rome,0,hungarian,0,295133,YCUN1W
991,178,0,rome,0,hungarian,0,295133,YCUN1W
232,72,0,rome,0,hungarian,0,295133,YCUN1W
228,128,0,rome,0,hungarian,0,295133,YCUN1W
906,133,0,rome,0,hungarian,0,295133,YCUN1W
840,101,7,rome,0,hungarian,0,295133,YCUN1W
696,92,0,rome,0,hungarian,0,295133,YCUN1W
170,153,0,rome,0,hungarian,0,295133,YCUN1W
781,68,0,rome,0,hungarian,0,295133,YCUN1W
895,291,0,rome,0,hungarian,0,295133,YCUN1W
773,80,4,rome,0,hungarian,0,295133,YCUN1W
180,70,0,rome,0,hungarian,0,295133,YCUN1W
636,92,0,rome,0,hungarian,0,295133,YCUN1W
341,115,0,rome,0,hungarian,0,295133,YCUN1W
273,133,0,rome,0,hungarian,0,295133,YCUN1W
42,239,0,rome,0,hungarian,0,295133,YCUN1W
854,357,0,rome,0,hungarian,0,295133,YCUN1W
838,154,0,rome,0,hungarian,0,295133,YCUN1W
293,67,0,rome,0,hungarian,0,295133,YCUN1W
583,69,0,rome,0,hungarian,0,295133,YCUN1W
586,260,0,rome,0,hungarian,0,295133,YCUN1W
725,178,0,rome,0,hungarian,0,295133,YCUN1W
469,80,0,rome,0,hungarian,0,295133,YCUN1W
328,68,0,rome,0,hungarian,0,295133,YCUN1W
786,357,0,rome,0,hungarian,0,295133,YCUN1W
485,80,0,rome,0,hungarian,0,295133,YCUN1W
364,157,0,rome,0,hungarian,0,295133,YCUN1W
471,149,22,rome,0,hungarian,0,295133,YCUN1W
671,132,0,rome,0,hungarian,0,295133,YCUN1W
386,98,0,rome,0,hungarian,0,295133,YCUN1W
286,118,3,rome,0,hungarian,0,295133,YCUN1W
48,67,0,rome,0,hungarian,0,295133,YCUN1W
677,250,0,rome,0,hungarian,0,295133,YCUN1W
453,362,0,rome,0,hungarian,0,295133,YCUN1W
712,262,0,rome,0,hungarian,0,295133,YCUN1W
347,75,0,rome,0,hungarian,0,295133,YCUN1W
